n,k,x,y
30,4,-11.14717238216091,10.036959095382874
30,5,-12.990381056766577,7.500000000000005
30,6,-14.265847744427303,4.635254915624213
30,7,-14.917828430524102,1.5679269490147993
30,8,-14.917828430524102,-1.5679269490147958
30,9,-14.265847744427305,-4.635254915624209
30,10,-12.990381056766582,-7.499999999999996
30,11,-11.14717238216092,-10.03695909538287
30,12,-8.816778784387099,-12.13525491562421
30,13,-6.101049646137001,-13.703181864639015
30,14,-3.118675362266384,-14.672214011007085
30,15,-2.7554552980815444e-15,-15.0
30,16,3.1186753622663783,-14.672214011007087
30,17,6.1010496461370085,-13.703181864639012
30,18,8.816778784387093,-12.135254915624213
30,19,11.147172382160905,-10.036959095382882
30,20,12.990381056766577,-7.500000000000007
30,21,14.265847744427303,-4.635254915624214
30,22,14.9178284305241,-1.5679269490148147
30,23,14.917828430524102,1.567926949014794
30,24,14.265847744427305,4.635254915624207
30,25,12.990381056766578,7.5
30,26,11.14717238216091,10.036959095382876
30,27,8.8167787843871,12.135254915624209
30,28,6.101049646137003,13.703181864639014
30,29,3.1186753622663854,14.672214011007085
31,0,9.491012693391988e-16,15.5
31,1,-3.12012706137423,15.182714089413665
31,2,-6.112515754256436,14.243846080113576
31,3,-8.854657333969277,12.721833338712784
31,4,-11.234288202051356,10.678987245673145
31,5,-13.153985991168637,8.198942160067922
31,6,-14.535158048279746,5.383231419094718
31,7,-15.321259027085727,2.347130551320943
31,8,-15.48010586115132,-0.7850621170000416
31,9,-15.005195342426168,-3.885114250010162
31,10,-13.915970363346496,-6.826109349143333
31,11,-12.257023922534332,-9.487642729488769
31,12,-10.09627348219445,-11.760750901738254
31,13,-7.522180419231751,-13.552372550241026
31,14,-4.640128406087056,-14.789158474200756
31,15,-1.5681089908052082,-15.420474512574373
31,16,1.5681089908051886,-15.420474512574376
31,17,4.640128406087052,-14.789158474200757
31,18,7.522180419231746,-13.552372550241028
31,19,10.096273482194444,-11.760750901738259
31,20,12.257023922534328,-9.487642729488773
31,21,13.915970363346496,-6.826109349143332
31,22,15.005195342426163,-3.885114250010181
31,23,15.480105861151317,-0.785062117000061
31,24,15.321259027085727,2.3471305513209377
31,25,14.535158048279747,5.383231419094713
31,26,13.153985991168641,8.198942160067917
31,27,11.234288202051362,10.67898724567314
31,28,8.854657333969282,12.72183333871278
31,29,6.1125157542564414,14.243846080113572
31,30,3.120127061374249,15.182714089413661
32,0,9.797174393178826e-16,16.0
32,1,-3.121445152258051,15.692564486451687
32,2,-6.122934917841436,14.782072520180588
32,3,-8.889123728313631,13.303513796840727
32,4,-11.31370849898476,11.313708498984761
32,5,-13.303513796840726,8.889123728313635
32,6,-14.782072520180588,6.122934917841438
32,7,-15.692564486451687,3.1214451522580577
32,8,-16.0,1.959434878635765e-15
32,9,-15.692564486451687,-3.1214451522580537
32,10,-14.78207252018059,-6.122934917841435
32,11,-13.303513796840727,-8.889123728313631
32,12,-11.313708498984763,-11.31370849898476
32,13,-8.889123728313635,-13.303513796840724
32,14,-6.122934917841445,-14.782072520180584
32,15,-3.1214451522580586,-15.692564486451685
32,16,-2.9391523179536475e-15,-16.0
32,17,3.121445152258053,-15.692564486451687
32,18,6.12293491784144,-14.782072520180586
32,19,8.88912372831363,-13.303513796840727
32,20,11.313708498984758,-11.313708498984763
32,21,13.303513796840724,-8.889123728313635
32,22,14.782072520180584,-6.122934917841446
32,23,15.692564486451685,-3.1214451522580595
32,24,16.0,-3.91886975727153e-15
32,25,15.692564486451687,3.121445152258052
32,26,14.782072520180588,6.122934917841439
32,27,13.303513796840727,8.88912372831363
32,28,11.313708498984763,11.313708498984758
32,29,8.889123728313637,13.303513796840724
32,30,6.122934917841447,14.782072520180584
32,31,3.1214451522580604,15.692564486451685
33,0,1.0103336092965664e-15,16.5
33,1,-3.1226455319467665,16.20182350483466
33,2,-6.132430518395402,15.3180708947652
33,3,-8.92057348801736,13.880683291714488
33,4,-11.386303689454845,11.94161162873366
33,5,-13.44050320883054,9.570939007924771
33,6,-15.008927923349555,6.854347714531125
33,7,-16.034890877338437,3.8900224359055513
33,8,-16.481311096519633,0.7851016110917544
33,9,-16.332053791035392,-2.3481948315092014
33,10,-15.59251350879203,-5.396621394737457
33,11,-14.28941916244324,-8.249999999999995
33,12,-12.469867976845263,-10.805202110097202
33,13,-10.199623272639991,-12.96987606325599
33,14,-7.560737608502275,-14.665784902806235
33,15,-4.6485871878835905,-15.831634064639207
33,16,-1.5684247145190258,-16.425286722455894
33,17,1.5684247145190198,-16.425286722455894
33,18,4.648587187883584,-15.831634064639209
33,19,7.560737608502256,-14.665784902806244
33,20,10.199623272639986,-12.969876063255994
33,21,12.469867976845263,-10.8052021100972
33,22,14.289419162443233,-8.250000000000007
33,23,15.592513508792027,-5.396621394737462
33,24,16.33205379103539,-2.3481948315092076
33,25,16.481311096519633,0.7851016110917483
33,26,16.034890877338437,3.8900224359055526
33,27,15.008927923349557,6.8543477145311185
33,28,13.440503208830544,9.570939007924766
33,29,11.386303689454849,11.941611628733657
33,30,8.920573488017373,13.880683291714483
33,31,6.132430518395414,15.318070894765194
33,32,3.1226455319467763,16.20182350483466
34,0,1.0409497792752501e-15,17.0
34,1,-3.123741802881693,16.71054269462633
34,2,-6.1411083251816,15.852027899874049
34,3,-8.949346768915051,14.45369130740344
34,4,-11.452825941991472,12.563151592751204
34,5,-13.56629286376407,10.24478881844736
34,6,-15.217775953036059,7.577552048201152
34,7,-16.351035933937922,4.652270831225412
34,8,-16.92748099701559,1.5685621108761314
34,9,-16.92748099701559,-1.5685621108761274
34,10,-16.351035933937922,-4.652270831225408
34,11,-15.217775953036064,-7.577552048201142
34,12,-13.566292863764073,-10.244788818447356
34,13,-11.45282594199147,-12.563151592751206
34,14,-8.949346768915055,-14.453691307403439
34,15,-6.141108325181615,-15.852027899874043
34,16,-3.1237418028816895,-16.710542694626334
34,17,-3.1228493378257506e-15,-17.0
34,18,3.1237418028816837,-16.710542694626334
34,19,6.1411083251815946,-15.85202789987405
34,20,8.94934676891505,-14.45369130740344
34,21,11.452825941991467,-12.56315159275121
34,22,13.56629286376406,-10.244788818447372
34,23,15.217775953036053,-7.577552048201161
34,24,16.351035933937922,-4.6522708312254135
34,25,16.92748099701559,-1.5685621108761336
34,26,16.927480997015586,1.5685621108761405
34,27,16.351035933937926,4.652270831225406
34,28,15.217775953036066,7.57755204820114
34,29,13.566292863764076,10.244788818447356
34,30,11.452825941991485,12.563151592751195
