N,sigma,t,dist,residual
137,0.7234048128329932,15.931710912933864,0.22340481283299318,4.424207410463071e-14
138,0.720540709946703,15.907371419910204,0.22054070994670305,2.6801252918666088e-14
139,0.7175874792010208,15.883296658698656,0.21758747920102084,1.977194685263916e-14
140,0.7145460192303835,15.859481521675223,0.21454601923038352,1.1949218545369531e-14
141,0.711416903392431,15.835921049073994,0.21141690339243102,1.464821375527116e-14
142,0.7082003748797964,15.812610422933822,0.20820037487979637,8.95090418262362e-16
143,0.7048963380952363,15.789544961388604,0.20489633809523633,4.218847493575595e-15
144,0.7015043459149298,15.766720113274658,0.20150434591492983,2.090523717857419e-14
145,0.6980235823363136,15.744131453031525,0.19802358233631356,3.580361673049448e-15
146,0.6944528398486292,15.721774675874677,0.19445283984862916,1.7020845086023684e-14
147,0.6907904906665413,15.699645593220659,0.1907904906665413,2.220446049250313e-16
148,0.6870344507147282,15.67774012834703,0.18703445071472824,2.4242552967656972e-14
149,0.6831821349252114,15.656054312271007,0.1831821349252114,2.6790212995259888e-14
150,0.6792304019808206,15.634584279832136,0.17923040198082063,2.8951074449790722e-15
151,0.6751754860686358,15.613326265965652,0.17517548606863576,1.436827630882242e-14
152,0.6710129124389584,15.592276602154163,0.17101291243895844,3.552713678800501e-15
153,0.6667373925142054,15.571431713046517,0.16673739251420538,7.32410687763558e-15
154,0.6623426928328947,15.55078811323339,0.1623426928328947,1.9265488727423608e-14
155,0.6578214700548232,15.530342404170183,0.15782147005482317,7.630713961787974e-15
156,0.6531650612985979,15.510091271238343,0.15316506129859786,3.66205343881779e-15
157,0.6483632147603446,15.490031480937082,0.14836321476034464,1.5700924586837751e-15
158,0.6434037391078459,15.470159878197906,0.14340373910784587,4.352584022962493e-15
159,0.6382720402792597,15.450473383815057,0.13827204027925966,1.8610729195778454e-15
160,0.6329504988409407,15.430968991985369,0.13295049884094068,8.62265274246159e-15
161,0.6274176160597985,15.41164376795157,0.1274176160597985,1.7342238036525468e-15
162,0.6216468150782295,15.392494845743428,0.1216468150782295,1.4400838045461714e-14
163,0.6156047110312568,15.373519426011525,0.1156047110312568,2.0471501066083613e-15
164,0.6092485320715121,15.354714773948858,0.10924853207151208,9.992007221626409e-16
165,0.6025221202627186,15.336078217295665,0.10252212026271856,4.446439748506845e-15
166,0.5953494231703206,15.317607144423285,0.09534942317032058,3.0847422370805075e-15
167,0.5876232366429618,15.299299002493077,0.08762323664296179,1.1476183743604698e-14
168,0.5791841282172353,15.28115129568667,0.0791841282172353,5.132305394595624e-15
169,0.5697764793954245,15.26316158350405,0.06977647939542453,8.926082647349967e-15
170,0.5589411874786947,15.245327479126242,0.0589411874786947,1.1717981964273215e-14
171,0.5456767375831575,15.227646647839467,0.04567673758315749,1.3506446028928519e-15
172,0.5265698808779167,15.210116805517906,0.026569880877916674,4.8266778408430945e-15
173,0.5000000000000007,15.218559604084401,6.661338147750939e-16,8.071005216077193e-15
174,0.5000000000000003,15.220577438818104,3.3306690738754696e-16,6.131301245943603e-15
175,0.49999999999999994,15.216624318210926,5.551115123125783e-17,4.66365800238644e-15
176,0.5,15.210291932313345,0.0,2.6645352591003757e-15
