p_cut,sigma,t,re,im,abs
200,0.35,40.0,1.5640473174337313,-2.5990384226332988,3.0333553589211792
200,0.5,0.0,6422.019622031583,0.0,6422.019622031583
200,0.5,5.0,1.1925169936860593,0.3600640648669452,1.2456897330549628
200,0.5,14.0,0.08356076392198661,-0.0286554189977396,0.08833761546001791
200,0.5,25.0,0.1455185993200696,0.05182370035145275,0.15447122277690473
200,0.5,40.0,1.0135864836836008,-1.4190820214006556,1.743889716515542
200,0.65,0.0,235.30412969369914,0.0,235.30412969369914
200,0.65,5.0,0.9102662324740478,0.2691863023584927,0.949234364822479
200,0.65,14.0,0.15432537259718346,-0.03373246890195661,0.15796898456811378
200,0.65,25.0,0.24941779191798635,0.07735034169391866,0.2611365740094825
200,0.65,40.0,0.8914180088893079,-0.9547174304090995,1.3061820081822946
200,0.8,0.0,37.240784966347434,0.0,37.240784966347434
200,0.8,5.0,0.8187557322604678,0.22264606786962984,0.8484881971171919
200,0.8,14.0,0.2329692167111694,-0.03147492774781054,0.23508578649451717
200,0.8,25.0,0.35762671887640246,0.10283199005720937,0.3721173043993351
200,0.8,40.0,0.8616544822985601,-0.705998442714862,1.1139489431661622
