n,origin,inv,is_prime
64,32.0,0.015625,0
65,32.5,0.015384615384615385,0
66,33.0,0.015151515151515152,0
67,33.5,0.014925373134328358,1
68,34.0,0.014705882352941176,0
69,34.5,0.014492753623188406,0
70,35.0,0.014285714285714285,0
71,35.5,0.014084507042253521,1
72,36.0,0.013888888888888888,0
73,36.5,0.0136986301369863,1
74,37.0,0.013513513513513514,0
75,37.5,0.013333333333333334,0
76,38.0,0.013157894736842105,0
77,38.5,0.012987012987012988,0
78,39.0,0.01282051282051282,0
79,39.5,0.012658227848101266,1
80,40.0,0.0125,0
81,40.5,0.012345679012345678,0
82,41.0,0.012195121951219513,0
83,41.5,0.012048192771084338,1
84,42.0,0.011904761904761904,0
85,42.5,0.011764705882352941,0
86,43.0,0.011627906976744186,0
87,43.5,0.011494252873563218,0
88,44.0,0.011363636363636364,0
89,44.5,0.011235955056179775,1
90,45.0,0.011111111111111112,0
91,45.5,0.01098901098901099,0
92,46.0,0.010869565217391304,0
93,46.5,0.010752688172043012,0
94,47.0,0.010638297872340425,0
95,47.5,0.010526315789473684,0
96,48.0,0.010416666666666666,0
97,48.5,0.010309278350515464,1
98,49.0,0.01020408163265306,0
99,49.5,0.010101010101010102,0
100,50.0,0.01,0
101,50.5,0.009900990099009901,1
102,51.0,0.00980392156862745,0
103,51.5,0.009708737864077669,1
104,52.0,0.009615384615384616,0
105,52.5,0.009523809523809525,0
106,53.0,0.009433962264150943,0
107,53.5,0.009345794392523364,1
108,54.0,0.009259259259259259,0
109,54.5,0.009174311926605505,1
110,55.0,0.00909090909090909,0
111,55.5,0.009009009009009009,0
112,56.0,0.008928571428571428,0
113,56.5,0.008849557522123894,1
114,57.0,0.008771929824561403,0
115,57.5,0.008695652173913044,0
116,58.0,0.008620689655172414,0
117,58.5,0.008547008547008548,0
118,59.0,0.00847457627118644,0
119,59.5,0.008403361344537815,0
120,60.0,0.008333333333333333,0
121,60.5,0.008264462809917356,0
122,61.0,0.00819672131147541,0
123,61.5,0.008130081300813009,0
124,62.0,0.008064516129032258,0
125,62.5,0.008,0
126,63.0,0.007936507936507936,0
127,63.5,0.007874015748031496,1
128,64.0,0.0078125,0
129,64.5,0.007751937984496124,0
130,65.0,0.007692307692307693,0
131,65.5,0.007633587786259542,1
132,66.0,0.007575757575757576,0
133,66.5,0.007518796992481203,0
134,67.0,0.007462686567164179,0
135,67.5,0.007407407407407408,0
136,68.0,0.007352941176470588,0
137,68.5,0.0072992700729927005,1
138,69.0,0.007246376811594203,0
139,69.5,0.007194244604316547,1
140,70.0,0.007142857142857143,0
141,70.5,0.0070921985815602835,0
142,71.0,0.007042253521126761,0
143,71.5,0.006993006993006993,0
144,72.0,0.006944444444444444,0
145,72.5,0.006896551724137931,0
146,73.0,0.00684931506849315,0
147,73.5,0.006802721088435374,0
148,74.0,0.006756756756756757,0
149,74.5,0.006711409395973154,1
150,75.0,0.006666666666666667,0
151,75.5,0.006622516556291391,1
152,76.0,0.006578947368421052,0
153,76.5,0.006535947712418301,0
154,77.0,0.006493506493506494,0
155,77.5,0.0064516129032258064,0
156,78.0,0.00641025641025641,0
157,78.5,0.006369426751592357,1
158,79.0,0.006329113924050633,0
159,79.5,0.006289308176100629,0
160,80.0,0.00625,0
161,80.5,0.006211180124223602,0
162,81.0,0.006172839506172839,0
163,81.5,0.006134969325153374,1
164,82.0,0.006097560975609756,0
165,82.5,0.006060606060606061,0
166,83.0,0.006024096385542169,0
167,83.5,0.005988023952095809,1
168,84.0,0.005952380952380952,0
169,84.5,0.005917159763313609,0
170,85.0,0.0058823529411764705,0
171,85.5,0.005847953216374269,0
172,86.0,0.005813953488372093,0
173,86.5,0.005780346820809248,1
174,87.0,0.005747126436781609,0
175,87.5,0.005714285714285714,0
176,88.0,0.005681818181818182,0
177,88.5,0.005649717514124294,0
178,89.0,0.0056179775280898875,0
179,89.5,0.00558659217877095,1
180,90.0,0.005555555555555556,0
181,90.5,0.0055248618784530384,1
182,91.0,0.005494505494505495,0
183,91.5,0.00546448087431694,0
184,92.0,0.005434782608695652,0
185,92.5,0.005405405405405406,0
186,93.0,0.005376344086021506,0
187,93.5,0.0053475935828877,0
188,94.0,0.005319148936170213,0
189,94.5,0.005291005291005291,0
190,95.0,0.005263157894736842,0
191,95.5,0.005235602094240838,1
192,96.0,0.005208333333333333,0
193,96.5,0.0051813471502590676,1
194,97.0,0.005154639175257732,0
195,97.5,0.005128205128205128,0
196,98.0,0.00510204081632653,0
197,98.5,0.005076142131979695,1
198,99.0,0.005050505050505051,0
199,99.5,0.005025125628140704,1
200,100.0,0.005,0
