n,R,inv,lock,mid,B1,B2,apothem,side,twocos,half_walk,is_prime
23,11.5,0.043478260869565216,1.0,5.75,7.107390870623791,4.3926091293762095,11.392888379417803,3.1318329292136715,1.9813718920726615,36.12831551628262,1
24,12.0,0.041666666666666664,1.0,6.0,7.416407864998739,4.583592135001263,11.897338336485724,3.1326286132812378,1.9828897227476208,37.69911184307752,0
25,12.5,0.04,1.0,6.25,7.725424859373686,4.7745751406263155,12.401433766430973,3.1333308391076065,1.9842294026289558,39.269908169872416,0
26,13.0,0.038461538461538464,1.0,6.5,8.034441853748634,4.965558146251368,12.905215363274701,3.1339536866383995,1.985417748196108,40.840704496667314,0
27,13.5,0.037037037037037035,1.0,6.75,8.343458848123582,5.156541151876421,13.408717829516231,3.134508681381216,1.986476715483886,42.411500823462205,0
28,14.0,0.03571428571428571,1.0,7.0,8.652475842498529,5.347524157501473,13.911970938505396,3.13500533089262,1.9874244197864852,43.982297150257104,0
29,14.5,0.034482758620689655,1.0,7.25,8.961492836873475,5.538507163126526,14.415000378738213,3.1354515342943112,1.9882759143087192,45.553093477052,1
30,15.0,0.03333333333333333,1.0,7.5,9.270509831248424,5.729490168751578,14.9178284305241,3.1358538980296036,1.9890437907365466,47.12388980384689,0
31,15.5,0.03225806451612903,1.0,7.75,9.579526825623372,5.920473174376631,15.420474512574375,3.136217981610397,1.9897386467837903,48.69468613064179,1
32,16.0,0.03125,1.0,8.0,9.888543819998318,6.111456180001683,15.92295562675515,3.1365484905459393,1.9903694533443939,50.26548245743669,0
33,16.5,0.030303030303030304,1.0,8.25,10.197560814373265,6.302439185626736,16.425286722455894,3.1368494290380275,1.9909438451461692,51.83627878423159,0
34,17.0,0.029411764705882353,1.0,8.5,10.506577808748213,6.493422191251788,16.927480997015586,3.1371242217522677,1.991468352590069,53.40707511102649,0
35,17.5,0.02857142857142857,1.0,8.75,10.815594803123162,6.684405196876841,17.429550144916682,3.1373758116201724,1.9919485879904781,54.97787143782138,0
36,18.0,0.027777777777777776,1.0,9.0,11.124611797498108,6.8753882025018935,17.93150456565142,3.137606738915694,1.992389396183491,56.548667764616276,0
37,18.5,0.02702702702702703,1.0,9.25,11.433628791873055,7.066371208126946,18.43335353803674,3.13781920559384,1.992794977085053,58.119464091411174,1
38,19.0,0.02631578947368421,1.0,9.5,11.742645786248003,7.257354213751999,18.935105367126727,3.1380151279486284,1.9931689860133397,59.690260418206066,0
39,19.5,0.02564102564102564,1.0,9.75,12.051662780622951,7.448337219377051,19.436767508617095,3.1381961799523093,1.99351461626842,61.261056745000964,0
40,20.0,0.025,1.0,10.0,12.360679774997898,7.639320225002104,19.938346674662558,3.1383638291137976,1.993834667466256,62.83185307179586,0
41,20.5,0.024390243902439025,1.0,10.25,12.669696769372845,7.830303230627157,20.43984892426668,3.1385193662963218,1.9941316023674809,64.40264939859075,1
42,21.0,0.023809523809523808,1.0,10.5,12.978713763747793,8.021286236252209,20.941279740804784,3.1386639306298187,1.9944075943623603,65.97344572538566,0
43,21.5,0.023255813953488372,1.0,10.75,13.287730758122741,8.212269241877262,21.442644098766362,3.138798530419024,1.9946645673271033,67.54424205218055,1
44,22.0,0.022727272727272728,1.0,11.0,13.596747752497688,8.403252247502314,21.943946521425577,3.138924060766223,1.994904229220507,69.11503837897544,0
45,22.5,0.022222222222222223,1.0,11.25,13.905764746872634,8.594235253127367,22.445191130846045,3.1390413184856385,1.9951281005196484,70.68583470577035,0
46,23.0,0.021739130434782608,1.0,11.5,14.214781741247583,8.785218258752419,22.9463816913824,3.139151014774865,1.9953375383810783,72.25663103256524,0
47,23.5,0.02127659574468085,1.0,11.75,14.523798735622531,8.976201264377472,23.4475216476441,3.139253786020713,1.9955337572463063,73.82742735936014,1
48,24.0,0.020833333333333332,1.0,12.0,14.832815729997478,9.167184270002526,23.94861415772648,3.1393502030468667,1.995717846477207,75.39822368615503,0
49,24.5,0.02040816326530612,1.0,12.25,15.141832724372424,9.358167275627578,24.44966212238324,3.1394407790549326,1.9958907855006727,76.96902001294993,0
50,25.0,0.02,1.0,12.5,15.450849718747373,9.549150281252631,24.950668210706787,3.1395259764656687,1.9960534568565431,78.53981633974483,0
51,25.5,0.0196078431372549,1.0,12.75,15.759866713122321,9.740133286877683,25.451634882794625,3.1396062128310844,1.9962066574740882,80.11061266653972,0
52,26.0,0.019230769230769232,1.0,13.0,16.068883707497267,9.931116292502736,25.952564409806254,3.1396818659588748,1.996351108446635,81.68140899333463,0
53,26.5,0.018867924528301886,1.0,13.25,16.377900701872214,10.122099298127788,26.45345889175452,3.1397532783668574,1.996487463528643,83.25220532012952,1
54,27.0,0.018518518518518517,1.0,13.5,16.686917696247164,10.313082303752841,26.954320273324242,3.1398207611656948,1.9966163165425364,84.82300164692441,0
55,27.5,0.01818181818181818,1.0,13.75,16.99593469062211,10.504065309377893,27.45515035796873,3.1398845974522387,1.9967382078522713,86.39379797371932,0
56,28.0,0.017857142857142856,1.0,14.0,17.304951684997057,10.695048315002946,27.955950820498863,3.13994504528274,1.9968536300356332,87.96459430051421,0
57,28.5,0.017543859649122806,1.0,14.25,17.613968679372004,10.886031320627998,28.45672321834951,3.14000234028433,1.9969630328666323,89.5353906273091,0
58,29.0,0.017241379310344827,1.0,14.5,17.92298567374695,11.077014326253051,28.95746900168259,3.1400566979542166,1.9970668277022476,91.106186954104,0
59,29.5,0.01694915254237288,1.0,14.75,18.2320026681219,11.267997331878103,29.458189522464476,3.1401083156885403,1.9971653913535239,92.6769832808989,1
60,30.0,0.016666666666666666,1.0,15.0,18.541019662496847,11.458980337503156,29.958886042637214,3.1401573745766296,1.9972590695091477,94.24777960769379,0
