n,radius,central_angle_rad,central_angle_deg,side_chord,circumscribed_side,apothem,spoke_base_angle_deg,diag2,diag2_over_side,apothem_over_radius,vertices_shared_with_smaller_dgon,smallest_proper_divisor_gon,n_is_prime_like,euler_totient,predicted_shared_from_totient
25,12.5,0.25132741228718347,14.4,3.1333308391076065,3.1582344611527042,12.401433766430973,82.8,6.21724717912137,1.9842294026289555,0.9921147013144779,4,5,0,20,4
26,13.0,0.241660973353061,13.846153846153845,3.1339536866383995,3.156971563778774,12.905215363274701,83.07692307692308,6.222207271476501,1.9854177481961075,0.992708874098054,13,2,0,12,13
27,13.5,0.23271056693257727,13.333333333333334,3.134508681381216,3.1558473924701214,13.408717829516231,83.33333333333333,6.2266285100458845,1.9864767154838858,0.993238357741943,8,3,0,18,8
28,14.0,0.2243994752564138,12.857142857142858,3.13500533089262,3.154842317203109,13.911970938505396,83.57142857142857,6.230586150776803,1.9874244197864852,0.9937122098932426,15,2,0,12,15
29,14.5,0.21666156231653746,12.413793103448276,3.1354515342943112,3.1539400660943384,14.415000378738213,83.79310344827586,6.234142766119698,1.9882759143087192,0.9941379571543595,0,29,1,28,0
30,15.0,0.20943951023931953,12.0,3.1358538980296036,3.153127057970294,14.9178284305241,84.0,6.23735072453278,1.9890437907365468,0.9945218953682733,21,2,0,8,21
31,15.5,0.2026833970057931,11.612903225806452,3.136217981610397,3.152391884913905,15.420474512574375,84.19354838709677,6.240254122748462,1.9897386467837903,0.9948693233918952,0,31,1,30,0
32,16.0,0.19634954084936207,11.25,3.1365484905459393,3.151724907429256,15.92295562675515,84.375,6.242890304516104,1.9903694533443936,0.9951847266721969,15,2,0,16,15
33,16.5,0.19039955476301776,10.909090909090908,3.1368494290380275,3.151117935029182,16.425286722455894,84.54545454545455,6.245291063893536,1.9909438451461692,0.9954719225730845,12,3,0,20,12
34,17.0,0.18479956785822313,10.588235294117647,3.1371242217522677,3.1505639722290124,16.927480997015586,84.70588235294117,6.247483605763391,1.9914683525900692,0.9957341762950345,17,2,0,16,17
35,17.5,0.17951958020513104,10.285714285714286,3.1373758116201724,3.150057015061043,17.429550144916682,84.85714285714286,6.249491317952283,1.9919485879904781,0.995974293995239,10,5,0,24,10
36,18.0,0.17453292519943295,10.0,3.137606738915694,3.149591886933264,17.93150456565142,85.0,6.251334396009492,1.992389396183491,0.9961946980917455,23,2,0,12,23
37,18.5,0.16981581911296179,9.72972972972973,3.13781920559384,3.149164105364881,18.43335353803674,85.13513513513513,6.253030351908416,1.992794977085053,0.9963974885425265,0,37,1,36,0
38,19.0,0.16534698176788384,9.473684210526315,3.1380151279486284,3.1487697731291373,18.935105367126727,85.26315789473684,6.254594430667888,1.9931689860133397,0.9965844930066698,19,2,0,18,19
39,19.5,0.16110731556870733,9.23076923076923,3.1381961799523093,3.148405488821118,19.436767508617095,85.38461538461537,6.256039953452649,1.9935146162684199,0.99675730813421,14,3,0,24,14
40,20.0,0.15707963267948966,9.0,3.1383638291137976,3.1480682729847373,19.938346674662558,85.5,6.2573786016092345,1.993834667466256,0.9969173337331279,23,2,0,16,23
41,20.5,0.15324842212633139,8.78048780487805,3.1385193662963218,3.147755506778185,20.43984892426668,85.60975609756098,6.258620652973854,1.9941316023674807,0.9970658011837406,0,41,1,40,0
42,21.0,0.14959965017094254,8.571428571428571,3.1386639306298187,3.1474648808016528,20.941279740804784,85.71428571428571,6.259775179399327,1.9944075943623603,0.9972037971811802,29,2,0,12,29
43,21.5,0.14612058853906015,8.372093023255815,3.138798530419024,3.1471943522063826,21.442644098766362,85.81395348837209,6.2608502126052095,1.9946645673271033,0.9973322836635518,0,43,1,42,0
44,22.0,0.14279966607226333,8.181818181818182,3.138924060766223,3.14694210858707,21.943946521425577,85.9090909090909,6.261852884024546,1.994904229220507,0.9974521146102535,23,2,0,20,23
45,22.5,0.13962634015954636,8.0,3.1390413184856385,3.146706537457969,22.445191130846045,86.0,6.262789543202945,1.9951281005196484,0.9975640502598242,20,3,0,24,20
46,23.0,0.13659098493868665,7.826086956521739,3.139151014774865,3.146486200346656,22.9463816913824,86.08695652173913,6.263665858427343,1.9953375383810783,0.997668769190539,23,2,0,22,23
47,23.5,0.13368479376977843,7.659574468085107,3.139253786020713,3.1462798107235814,23.4475216476441,86.17021276595744,6.264486902567604,1.9955337572463059,0.9977668786231532,0,47,1,46,0
48,24.0,0.1308996938995747,7.499999999999999,3.1393502030468667,3.146086215131435,23.94861415772648,86.25,6.2652572265624755,1.995717846477207,0.9978589232386034,31,2,0,16,31
49,24.5,0.1282282715750936,7.346938775510203,3.1394407790549326,3.145904376994655,24.44966212238324,86.3265306122449,6.265980922540794,1.995890785500673,0.9979453927503363,6,7,0,42,6
50,25.0,0.12566370614359174,7.2,3.1395259764656687,3.145733362682488,24.950668210706787,86.39999999999999,6.266661678215213,1.9960534568565433,0.9980267284282714,29,2,0,20,29
51,25.5,0.12319971190548208,7.0588235294117645,3.1396062128310844,3.1455723294739473,25.451634882794625,86.47058823529412,6.26730282390042,1.9962066574740882,0.9981033287370441,18,3,0,32,18
52,26.0,0.1208304866765305,6.9230769230769225,3.1396818659588748,3.1454205151336008,25.952564409806254,86.53846153846155,6.267907373276799,1.996351108446635,0.9981755542233175,27,2,0,24,27
53,26.5,0.11855066617319975,6.7924528301886795,3.1397532783668574,3.1452772288563007,26.45345889175452,86.60377358490567,6.268478058832388,1.996487463528643,0.9982437317643215,0,53,1,52,0
