m,r,r_in,am,gm,tau
73,73.0,0.0136986301369863,36.50684931506849,1.0,35.50684931506849
74,74.0,0.013513513513513514,37.00675675675676,1.0,36.00675675675676
75,75.0,0.013333333333333334,37.50666666666667,1.0,36.50666666666667
76,76.0,0.013157894736842105,38.00657894736842,1.0,37.00657894736842
77,77.0,0.012987012987012988,38.506493506493506,1.0,37.506493506493506
78,78.0,0.01282051282051282,39.006410256410255,1.0,38.006410256410255
79,79.0,0.012658227848101266,39.50632911392405,1.0,38.50632911392405
80,80.0,0.0125,40.00625,1.0,39.00625
81,81.0,0.012345679012345678,40.50617283950617,1.0,39.50617283950617
82,82.0,0.012195121951219513,41.00609756097561,1.0,40.00609756097561
83,83.0,0.012048192771084338,41.506024096385545,1.0,40.506024096385545
84,84.0,0.011904761904761904,42.00595238095238,1.0,41.00595238095238
85,85.0,0.011764705882352941,42.50588235294118,1.0,41.50588235294118
86,86.0,0.011627906976744186,43.00581395348837,1.0,42.00581395348837
87,87.0,0.011494252873563218,43.50574712643678,1.0,42.50574712643678
88,88.0,0.011363636363636364,44.00568181818182,1.0,43.00568181818182
89,89.0,0.011235955056179775,44.50561797752809,1.0,43.50561797752809
90,90.0,0.011111111111111112,45.00555555555555,1.0,44.00555555555555
91,91.0,0.01098901098901099,45.505494505494504,1.0,44.505494505494504
92,92.0,0.010869565217391304,46.005434782608695,1.0,45.005434782608695
93,93.0,0.010752688172043012,46.505376344086024,1.0,45.505376344086024
94,94.0,0.010638297872340425,47.005319148936174,1.0,46.005319148936174
95,95.0,0.010526315789473684,47.50526315789474,1.0,46.50526315789474
96,96.0,0.010416666666666666,48.005208333333336,1.0,47.005208333333336
97,97.0,0.010309278350515464,48.50515463917526,1.0,47.50515463917526
98,98.0,0.01020408163265306,49.005102040816325,0.9999999999999999,48.005102040816325
99,99.0,0.010101010101010102,49.505050505050505,1.0,48.505050505050505
100,100.0,0.01,50.005,1.0,49.005
101,101.0,0.009900990099009901,50.504950495049506,1.0,49.504950495049506
102,102.0,0.00980392156862745,51.004901960784316,1.0,50.004901960784316
103,103.0,0.009708737864077669,51.50485436893204,0.9999999999999999,50.50485436893204
104,104.0,0.009615384615384616,52.00480769230769,1.0,51.00480769230769
105,105.0,0.009523809523809525,52.50476190476191,1.0,51.50476190476191
106,106.0,0.009433962264150943,53.00471698113208,1.0,52.00471698113208
107,107.0,0.009345794392523364,53.504672897196265,0.9999999999999999,52.504672897196265
108,108.0,0.009259259259259259,54.004629629629626,1.0,53.004629629629626
109,109.0,0.009174311926605505,54.5045871559633,1.0,53.5045871559633
110,110.0,0.00909090909090909,55.00454545454546,1.0,54.00454545454546
111,111.0,0.009009009009009009,55.5045045045045,1.0,54.5045045045045
112,112.0,0.008928571428571428,56.004464285714285,1.0,55.004464285714285
113,113.0,0.008849557522123894,56.50442477876106,1.0,55.50442477876106
114,114.0,0.008771929824561403,57.00438596491228,1.0,56.00438596491228
115,115.0,0.008695652173913044,57.504347826086956,1.0,56.504347826086956
116,116.0,0.008620689655172414,58.00431034482759,1.0,57.00431034482759
117,117.0,0.008547008547008548,58.504273504273506,1.0,57.504273504273506
118,118.0,0.00847457627118644,59.00423728813559,1.0,58.00423728813559
119,119.0,0.008403361344537815,59.50420168067227,1.0,58.50420168067227
120,120.0,0.008333333333333333,60.00416666666667,1.0,59.00416666666667
121,121.0,0.008264462809917356,60.50413223140496,1.0,59.50413223140496
122,122.0,0.00819672131147541,61.00409836065574,1.0,60.00409836065574
123,123.0,0.008130081300813009,61.50406504065041,1.0,60.50406504065041
124,124.0,0.008064516129032258,62.00403225806452,1.0,61.00403225806452
125,125.0,0.008,62.504,1.0,61.504
126,126.0,0.007936507936507936,63.00396825396825,1.0,62.00396825396825
127,127.0,0.007874015748031496,63.503937007874015,1.0,62.503937007874015
