m,j,gap,side,hx,hy
80,125664,1570,up,0.9999999680941899,0.0002526096181066366
81,127235,1571,down,-0.9999997849850203,-0.0006557666607226235
82,128806,1571,up,0.9999994393402509,0.0010589235967536396
83,130377,1571,down,-0.9999989311599382,-0.0014620803606675047
84,131948,1571,up,0.9999982604441647,0.0018652368869448127
85,133518,1570,down,-0.9999999639813316,-0.0002683977188725077
86,135089,1571,up,0.9999997745070777,0.0006715547585456009
87,136660,1571,down,-0.9999994224972258,-0.0010747116890674274
88,138231,1571,up,0.9999989079518335,0.0014778684449092395
89,139802,1571,down,-0.999998230870984,-0.0018810249605470835
90,141372,1570,up,0.9999999596192092,0.00028418581957018874
91,142943,1571,down,-0.9999997637798711,-0.0006873428562025522
92,144514,1571,up,0.9999994054049369,0.0010904997811174602
93,146085,1571,down,-0.9999988844944648,-0.0014936565287831235
94,147656,1571,up,0.9999982010485394,0.001896813033681073
95,149226,1570,down,-0.9999999550078226,-0.0002999739201936309
96,150797,1571,up,0.9999997528034005,0.0007031309536819245
97,152368,1571,down,-0.999999388063384,-0.0011062878728873666
98,153939,1571,up,0.9999988607878323,0.0015094446122818884
99,155510,1571,down,-0.9999981709768314,-0.0019126011063386708
100,157080,1570,up,0.9999999501471719,0.00031576202074385485
101,158651,1571,down,-0.9999997415776657,-0.0007189190509901434
102,160222,1571,up,0.999999370472567,0.001122075964386593
103,161793,1571,down,-0.9999988368319359,-0.001525232695405421
104,163364,1571,up,0.9999981406558595,0.001928389178519353
105,164934,1570,down,-0.999999945037257,-0.0003315501212128089
106,166505,1571,up,0.9999997301026669,0.0007347071481153916
107,168076,1571,down,-0.999999352632486,-0.0011378640556012692
108,169647,1571,up,0.9999988126267758,0.0015410207781440944
109,171218,1571,down,-0.9999981100856239,-0.0019441772502186768
110,172788,1570,up,0.9999999396780782,0.0003473382215977231
111,174359,1571,down,-0.9999997183784038,-0.000750495245058804
112,175930,1571,up,0.999999334543141,0.001153652146537693
113,177501,1571,down,-0.9999987881723515,-0.0015568088605048855
114,179072,1571,up,0.9999980792661248,0.0019599653214359084
115,180642,1570,down,-0.999999934069635,-0.0003631263219007915
116,182213,1571,up,0.999999706404877,0.0007662833418167526
117,183784,1571,down,-0.999999316204532,-0.0011694402371835346
118,185355,1571,up,0.9999987634686637,0.0015725969424764984
119,186926,1571,down,-0.9999980481973619,-0.001975753392165762
120,188496,1570,up,0.9999999282119277,0.00037891442211435264
121,190067,1571,down,-0.999999694182086,-0.0007820714383855087
122,191638,1571,up,0.9999992976166591,0.001185228327541294
123,193209,1571,down,-0.999998738515712,-0.0015883850240553442
124,194780,1571,up,0.9999980168793355,0.001991541462401055
125,196350,1570,down,-0.9999999221049566,-0.00039470252223112074
126,197921,1571,up,0.9999996817100307,0.0007978595347562766
127,199492,1571,down,-0.9999992787795222,-0.0012010164176010857
