m,j,gap,side,k_snap,r_out,r_in,gm,am,tension,hx,hy,atan2,Px,Py,leg_chord,leg_path,leg_chord_over_path,k_frozen
35,54978,1570,down,35.0,17.5,0.05714285714285714,1.0,8.778571428571428,7.7785714285714285,-0.9999999938930284,-0.0001105167088671555,-3.1414821368807013,-17.499999893127995,-0.0019340424051752212,34.49998900587181,54.16580595702793,0.6369329948351944,34.995544239338
36,56549,1571,up,36.0,18.0,0.05555555555555555,1.0,9.027777777777779,8.027777777777779,0.9999998680696186,0.000513673773431861,0.0005136737960215877,17.999997625253133,0.009246127921773498,35.49999927889119,55.77224801044736,0.6365172741869982,35.995544239338
37,58120,1571,down,37.0,18.5,0.05405405405405406,1.0,9.277027027027026,8.277027027027026,-0.9999995797105955,-0.0009168307545027552,-3.1406758227068456,-18.499992224646018,-0.01696136895830097,36.49999925857032,57.3426789663987,0.6365241372827795,36.995544239338
38,59691,1571,up,38.0,19.0,0.05263157894736842,1.0,9.526315789473685,8.526315789473685,0.9999991288160062,0.0013199875865578137,0.0013199879698752998,18.999983447504118,0.02507976414459846,37.49999923824965,58.91362191434017,0.6365251026795514,37.995544239338
39,61262,1571,down,39.0,19.5,0.05128205128205128,1.0,9.775641025641026,8.775641025641026,-0.9999985153859239,-0.0017231442040692763,-3.1398695085329886,-19.499971050025515,-0.03360131197935089,38.49999921792917,60.484566794399136,0.6365259975953778,38.995544239338
40,62832,1570,up,40.0,20.0,0.05,1.0,10.025,9.025,0.9999999920235474,0.0001263048100573723,0.00012630481039319376,19.99999984047095,0.002526096201147446,39.4999874118928,62.01551415431493,0.6369371914518661,39.994907702100576
41,64403,1571,down,41.0,20.5,0.04878048780487805,1.0,10.274390243902438,9.274390243902438,-0.9999998598350529,-0.0005294618725851094,-3.1410631916924707,-20.499997126618585,-0.010853968387994743,40.49999917728875,63.6269703699103,0.6365225146165614,40.994907702100576
42,65974,1571,up,42.0,21.0,0.047619047619047616,1.0,10.523809523809524,9.523809523809524,0.9999995651109466,0.0009326188490543813,0.0009326189842496477,20.999990867329878,0.019584995830142008,41.499999156968784,65.19741645779999,0.6365282769115596,41.994907702100576
43,67545,1571,down,43.0,21.5,0.046511627906976744,1.0,10.773255813953488,9.773255813953488,-0.9999991078512764,-0.0013357756739410926,-3.140256877518615,-21.49998081880244,-0.028719176989733492,42.49999913664894,66.7683722565159,0.6365289088278078,42.994907702100576
44,69116,1571,up,44.0,22.0,0.045454545454545456,1.0,11.022727272727273,10.022727272727273,0.9999984880561169,0.0017389322817186637,0.0017389331581085358,21.999966737234573,0.0382565101978106,43.49999911632924,68.3393292128363,0.6365295009093908,43.994907702100576
45,70686,1570,down,45.0,22.5,0.044444444444444446,1.0,11.272222222222222,10.272222222222222,-0.9999999899048022,-0.00014209291121813005,-3.141450560678097,-22.49999977285805,-0.003197090502407926,44.49998581797949,69.8652879332027,0.6369398471602287,44.99427116486314
46,72257,1571,up,46.0,23.0,0.043478260869565216,1.0,11.521739130434783,10.521739130434783,0.9999998513512232,0.0005452499716071804,0.0005452499986240958,22.999996581078133,0.012540749346965148,45.4999990756902,71.48175375681649,0.6365260599296828,45.99427116486314
47,73828,1571,down,47.0,23.5,0.0425531914893617,1.0,11.77127659574468,10.77127659574468,-0.9999995502620338,-0.0009484069433723706,-3.140644246504243,-23.499989431157793,-0.02228756316925071,46.49999905537084,73.05221040818128,0.6365310343869239,46.99427116486314
48,75399,1571,up,48.0,24.0,0.041666666666666664,1.0,12.020833333333334,11.020833333333334,0.999999086637283,0.0013515637609882703,0.001351564172477737,23.99997807929479,0.032437530263718484,47.499999035051594,74.62317516351115,0.6365314653386378,47.99427116486314
49,76970,1571,down,49.0,24.5,0.04081632653061224,0.9999999999999999,12.270408163265307,11.270408163265307,-0.999998460477046,-0.0017547203589276651,-3.1398379323303875,-24.499962281687626,-0.0429906487937278,48.49999901473244,76.19414062188234,0.6365318726464333,48.99427116486314
50,78540,1570,up,50.0,25.0,0.04,1.0,12.52,11.52,0.999999987536793,0.00015788101233856256,0.0001578810129944638,24.999999688419823,0.003947025308464064,49.49998422411197,77.71510741784184,0.6369415917804904,49.99363462762572
51,80111,1571,down,51.0,25.5,0.0392156862745098,1.0,12.769607843137255,11.769607843137255,-0.9999998426181292,-0.0005610380704897301,-3.141031615489871,-25.499995986762297,-0.014306470797488117,50.499998974094375,79.33658004176934,0.6365285590519153,50.99363462762572
52,81682,1571,up,52.0,26.0,0.038461538461538464,1.0,13.01923076923077,12.01923076923077,0.9999995351638569,0.0009641950374532353,0.0009641951868508305,25.999987914260277,0.025069070973784118,51.49999895377547,80.90704437136901,0.6365329416482804,51.99363462762572
53,83253,1571,down,53.0,26.5,0.03773584905660377,1.0,13.268867924528301,12.268867924528301,-0.9999990651740254,-0.0013673518476977245,-3.1402253013160166,-26.499975227111673,-0.0362348239639897,52.49999893345664,82.47801561512564,0.6365332451551934,52.99363462762572
54,84824,1571,up,54.0,27.0,0.037037037037037035,1.0,13.518518518518519,12.518518518518519,0.9999984326487114,0.0017705084357009168,0.0017705093607043893,26.999957681515205,0.047803727763924754,53.49999891313787,84.04898728437446,0.6365335340939207,53.99363462762572
