j,k,j_part,k_part,k_part_target,tens,tens_part,r_out,r_in,r_out_part,r_in_part,heading_dot
42417,27.0,233,0.14831317632081475,0.14814814814814814,5.787037037037037,5.779567564466471,13.5,0.07407407407407407,0.07415658816040738,13.484978540772534,-0.8982108632764735
43988,28.0,224,0.14258434118395927,0.14285714285714285,6.035714285714286,6.049038942438846,14.0,0.07142857142857142,0.07129217059197963,14.026785714285714,0.9061476802233105
45559,29.0,217,0.13812858052196053,0.13793103448275862,6.2844827586206895,6.2741634815360205,14.5,0.06896551724137931,0.06906429026098027,14.47926267281106,-0.9121454530714006
47130,30.0,209,0.13303628262253342,0.13333333333333333,6.533333333333333,6.550005482138887,15.0,0.06666666666666667,0.06651814131126671,15.033492822966506,0.9187455404382318
48701,31.0,203,0.12921705919796309,0.12903225806451613,6.782258064516129,6.771220520957126,15.5,0.06451612903225806,0.06460852959898154,15.47783251231527,-0.9235721288084803
50272,32.0,196,0.12476129853596435,0.125,7.03125,7.046496447082971,16.0,0.0625,0.062380649267982174,16.03061224489796,0.9289986612700362
51843,33.0,190,0.12094207511139402,0.12121212121212122,7.280303030303031,7.298656571409428,16.5,0.06060606060606061,0.06047103755569701,16.53684210526316,-0.9335172795665843
53414,34.0,185,0.11775938892425207,0.11764705882352941,7.529411764705882,7.521331739122955,17.0,0.058823529411764705,0.058879694462126035,16.983783783783785,0.9371965618020337
54985,35.0,180,0.11457670273711013,0.11428571428571428,7.7785714285714285,7.7564219534620555,17.5,0.05714285714285714,0.05728835136855506,17.455555555555556,-0.9407744164795
56556,36.0,175,0.11139401654996817,0.1111111111111111,8.027777777777779,8.004991361280348,18.0,0.05555555555555555,0.05569700827498408,17.954285714285714,0.9442504563877223
